82.102.18.222 - - [13/Apr/2025:03:07:59 +0600] "GET //site/wp-includes/wlwmanifest.xml HTTP/1.1" 308 44 "-" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/78.0.3904.108 Safari/537.36"
82.102.18.222 - - [13/Apr/2025:03:07:59 +0600] "GET //cms/wp-includes/wlwmanifest.xml HTTP/1.1" 308 43 "-" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/78.0.3904.108 Safari/537.36"
82.102.18.222 - - [13/Apr/2025:03:07:59 +0600] "GET //sito/wp-includes/wlwmanifest.xml HTTP/1.1" 308 44 "-" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/78.0.3904.108 Safari/537.36"
82.102.18.222 - - [13/Apr/2025:03:07:59 +0600] "" 400 0 "-" "-"
85.208.96.203 - - [13/Apr/2025:03:08:53 +0600] "GET /robots.txt HTTP/1.1" 200 133 "-" "Mozilla/5.0 (compatible; SemrushBot/7~bl; +http://www.semrush.com/bot.html)"
185.191.171.5 - - [13/Apr/2025:03:08:53 +0600] "GET /vacancy/67a221bfe4be14d08ac09490 HTTP/1.1" 200 13400 "-" "Mozilla/5.0 (compatible; SemrushBot/7~bl; +http://www.semrush.com/bot.html)"
114.119.148.27 - - [13/Apr/2025:03:10:17 +0600] "GET /resume/67a221bfe4be14d08ac08e5e HTTP/1.1" 200 12594 "https://re-works.ru/resume?page=58" "Mozilla/5.0 (Linux; Android 7.0;) AppleWebKit/537.36 (KHTML, like Gecko) Mobile Safari/537.36 (compatible; PetalBot;+https://webmaster.petalsearch.com/site/petalbot)"
66.249.66.74 - - [13/Apr/2025:03:16:26 +0600] "GET /robots.txt HTTP/1.1" 301 162 "-" "Mozilla/5.0 (compatible; Googlebot/2.1; +http://www.google.com/bot.html)"
66.249.66.75 - - [13/Apr/2025:03:16:26 +0600] "GET /robots.txt HTTP/1.1" 200 133 "-" "Mozilla/5.0 (compatible; Googlebot/2.1; +http://www.google.com/bot.html)"
66.249.66.74 - - [13/Apr/2025:03:16:27 +0600] "GET /ads.txt HTTP/1.1" 301 162 "-" "Mozilla/5.0 (compatible; Googlebot/2.1; +http://www.google.com/bot.html)"
66.249.66.74 - - [13/Apr/2025:03:16:28 +0600] "GET /ads.txt HTTP/1.1" 404 10392 "-" "Mozilla/5.0 (compatible; Googlebot/2.1; +http://www.google.com/bot.html)"
135.119.139.241 - - [13/Apr/2025:03:51:17 +0600] "HEAD /wordpress HTTP/1.1" 301 0 "-" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/74.0.3729.169 Safari/537.36"
135.119.139.241 - - [13/Apr/2025:03:51:18 +0600] "HEAD /wordpress HTTP/1.1" 404 0 "http://re-works.ru/wordpress" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/74.0.3729.169 Safari/537.36"
135.119.139.241 - - [13/Apr/2025:03:51:18 +0600] "HEAD / HTTP/1.1" 301 0 "-" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/74.0.3729.169 Safari/537.36"
135.119.139.241 - - [13/Apr/2025:03:51:18 +0600] "HEAD / HTTP/1.1" 200 0 "http://re-works.ru/" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/74.0.3729.169 Safari/537.36"
135.119.139.241 - - [13/Apr/2025:03:51:18 +0600] "HEAD /wp HTTP/1.1" 301 0 "-" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/74.0.3729.169 Safari/537.36"
135.119.139.241 - - [13/Apr/2025:03:51:18 +0600] "HEAD /wp HTTP/1.1" 404 0 "http://re-works.ru/wp" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/74.0.3729.169 Safari/537.36"
135.119.139.241 - - [13/Apr/2025:03:51:18 +0600] "HEAD /bc HTTP/1.1" 301 0 "-" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/74.0.3729.169 Safari/537.36"
